nickname,count,every,age
Marcelka,4,1057,v7
Pinky,4,7182,v3
Mlynář,4,7182,v3
Pompo,4,4969,v4
Marča,4,1669,v5
Pružinka,4,7182,v3
Monča,4,2394,v3
Puňťa,4,2113,v7
Motýl,4,6502,v2
Rákosníček,4,6502,v2
Moucha,4,2113,v7
Opi,4,4969,v4
Mozart,4,6502,v2
Oťas,4,1057,v7
Mrazík,4,4969,v4
Paprika,4,6502,v2
Mrňous,4,2485,v4
Pepča,4,8669,v2
Mudrc,4,1669,v5
Perník,4,7182,v3
Muffin,4,7182,v3
Piki,4,3591,v3
Muflon,4,1128,v6
Pingu,4,1669,v5
Mucha,4,2485,v4
Pinokio,4,7182,v3
Mário,4,6502,v2
Pluto,4,1656,v4
Neo,4,1669,v5
Ponožka,4,8669,v2
Nešika,4,2113,v7
Prezident,4,3591,v3
